Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,Los Angeles Dodgers,15,4,.789,W 4,5.9,3.2,2.7,-0.2,2.5,14-5,1,6-0,0-0,4-0,5-4,9-3,6-1,0-0,4-1,12-3,3-1,6-3,9-1,8-2,15-4,15-4
2,Atlanta Braves,13,7,.650,W 3,5.8,3.1,2.7,0.1,2.7,15-5,-2,3-1,0-0,2-2,8-4,8-4,5-3,0-1,1-2,8-6,5-1,8-5,5-2,7-3,13-7,13-7
3,San Diego Padres,13,7,.650,L 1,4.5,3.9,0.7,-0.2,0.5,11-9,2,0-0,2-1,5-2,6-4,9-4,4-3,1-0,2-1,10-5,3-2,3-4,10-3,8-2,13-7,13-7
4,Pittsburgh Pirates,12,8,.600,W 1,5.0,3.9,1.2,0.0,1.2,12-8,0,3-4,4-2,1-2,4-0,7-4,5-4,2-2,4-3,9-5,3-3,9-4,3-4,6-4,12-8,12-8
5,Cincinnati Reds,12,8,.600,W 1,3.3,3.9,-0.6,0.2,-0.4,8-12,4,2-2,1-2,2-1,7-3,6-6,6-2,2-0,5-0,9-7,3-1,6-4,6-4,5-5,12-8,12-8
6,Arizona Diamondbacks,12,8,.600,W 3,4.5,4.5,-0.1,0.5,0.5,10-10,2,6-4,0-0,0-3,6-1,6-2,6-6,2-1,6-4,7-8,5-0,7-6,5-2,7-3,12-8,12-8
7,Tampa Bay Rays,11,8,.579,L 1,4.8,5.1,-0.2,0.0,-0.2,9-10,2,3-0,5-1,0-0,3-7,4-2,7-6,2-1,3-1,8-7,3-1,8-8,3-0,7-3,11-8,11-8
8,Milwaukee Brewers,11,8,.579,W 3,5.2,4.2,0.9,-0.8,0.1,11-8,0,1-3,0-0,0-0,10-5,7-5,4-3,1-1,2-2,7-6,4-2,2-1,9-7,4-6,11-8,11-8
9,St. Louis Cardinals,11,8,.579,W 3,4.7,5.3,-0.6,-0.2,-0.8,8-11,3,4-2,0-0,0-0,7-6,7-5,4-3,4-0,5-0,9-5,2-3,5-4,6-4,6-4,11-8,11-8
10,Minnesota Twins,11,9,.550,L 2,5.2,4.4,0.8,-0.3,0.5,12-8,-1,6-6,5-2,0-0,0-1,7-4,4-5,0-1,0-2,6-2,5-7,6-5,5-4,7-3,11-9,11-9
11,Texas Rangers,11,9,.550,W 2,4.4,3.5,0.9,0.0,0.8,12-8,-1,2-1,0-0,6-2,3-6,3-3,8-6,1-0,3-4,9-6,2-3,5-8,6-1,6-4,11-9,11-9
12,New York Yankees,11,9,.550,W 1,4.5,3.9,0.6,-0.1,0.5,11-9,0,0-3,1-0,5-5,5-1,6-5,5-4,0-1,2-6,9-5,2-4,3-7,8-2,3-7,11-9,11-9
13,Chicago Cubs,10,9,.526,W 3,5.6,4.2,1.4,0.1,1.5,12-7,-2,4-3,1-2,0-0,5-4,5-5,5-4,0-1,2-2,8-5,2-4,6-6,4-3,6-4,10-9,10-9
14,Los Angeles Angels,11,10,.524,W 2,5.4,4.7,0.7,0.5,1.2,12-9,-1,2-2,0-0,4-3,5-5,4-3,7-7,1-1,2-2,7-8,4-2,7-7,4-3,5-5,10-10,11-10
15,Cleveland Guardians,11,10,.524,L 1,4.0,4.2,-0.3,0.8,0.5,10-11,1,1-1,2-1,2-2,6-6,5-3,6-7,1-1,3-2,6-9,5-1,7-7,4-3,5-5,10-10,11-10
16,Detroit Tigers,10,10,.500,L 1,4.2,3.6,0.6,0.0,0.6,11-9,-1,0-1,3-4,0-0,7-5,8-1,2-9,0-1,3-2,8-9,2-1,4-9,6-1,6-4,10-10,10-10
17,Baltimore Orioles,10,10,.500,W 1,4.3,4.3,-0.1,0.0,-0.1,10-10,0,0-0,6-2,1-2,3-6,6-6,4-4,0-1,2-3,10-8,0-2,5-9,5-1,6-4,10-10,10-10
18,Athletics,10,10,.500,L 2,4.0,4.9,-0.9,0.0,-0.8,8-12,2,2-4,0-1,4-3,4-2,4-4,6-6,1-1,5-2,7-8,3-2,5-5,5-5,7-3,10-10,10-10
19,Washington Nationals,9,11,.450,L 1,5.6,6.4,-0.8,0.4,-0.3,9-11,0,1-2,8-5,0-4,0-0,1-6,8-5,1-2,2-3,5-8,4-3,8-8,1-3,5-5,9-11,9-11
20,Miami Marlins,9,11,.450,L 3,4.7,4.7,0.0,0.0,0.0,10-10,-1,1-2,2-3,3-0,3-6,7-4,2-7,0-2,4-1,6-7,3-4,4-10,5-1,3-7,9-11,9-11
21,Philadelphia Phillies,8,11,.421,L 3,3.8,5.6,-1.8,0.1,-1.7,6-13,2,2-2,1-2,4-5,1-2,5-8,3-3,1-1,4-3,6-4,2-7,3-7,5-4,3-7,8-11,8-11
22,Boston Red Sox,8,11,.421,W 2,4.1,4.5,-0.4,-0.2,-0.6,9-10,-1,0-0,2-2,0-3,6-6,4-3,4-8,1-1,2-4,6-11,2-0,8-8,0-3,6-4,8-11,8-11
23,San Francisco Giants,8,12,.400,W 2,3.4,4.4,-1.0,-0.4,-1.3,8-12,0,4-4,1-2,2-1,1-5,3-7,5-5,0-0,1-1,6-10,2-2,4-8,4-4,5-5,8-12,8-12
24,Seattle Mariners,8,13,.381,L 4,3.7,3.8,0.0,0.4,0.3,10-11,-2,1-2,2-2,5-6,0-3,7-5,1-8,1-2,2-6,6-10,2-3,4-13,4-0,4-6,8-12,8-13
25,Houston Astros,8,13,.381,L 2,5.3,6.0,-0.7,-0.3,-1.0,9-12,-1,3-0,0-0,3-8,2-5,7-4,1-9,0-1,1-2,4-9,4-4,3-5,5-8,2-8,8-12,8-13
26,Toronto Blue Jays,7,12,.368,L 3,3.7,5.2,-1.5,-0.1,-1.6,7-12,0,0-0,1-5,3-0,3-7,6-6,1-6,2-2,3-4,6-10,1-2,6-7,1-5,3-7,7-12,7-12
27,Kansas City Royals,7,13,.350,L 5,3.4,4.2,-0.8,0.3,-0.5,8-12,-1,0-1,5-8,0-0,2-4,5-5,2-8,0-0,0-5,7-8,0-5,5-11,2-2,2-8,7-13,7-13
28,Chicago White Sox,7,13,.350,W 1,3.5,5.1,-1.7,-0.4,-2.1,7-13,0,3-6,2-2,1-0,1-5,3-6,4-7,1-0,2-1,4-9,3-4,1-9,6-4,3-7,7-13,7-13
29,New York Mets,7,13,.350,L 9,3.5,4.6,-1.1,0.2,-0.9,8-12,-1,0-0,3-4,4-6,0-3,3-6,4-7,2-2,1-4,7-8,0-5,4-12,3-1,1-9,7-13,7-13
